1107;1;fl oz;1;30,8
1107;2;cup;1;246
1108;1;cup;1;244
1108;2;quart;1;976
1109;1;cup;1;245
1109;2;quart;1;980
1110;1;fl oz;1;28,4
1110;2;container (10.6 oz);1;300
1111;1;fl oz;1;28,4
1111;2;container (11 oz);1;313
1112;1;cup;1;246
1112;2;quart;1;984
1113;1;cup;1;57
1113;2;tbsp;1;2,9
1114;1;cup;1;246
1114;2;quart;1;984
1115;1;cup;1;145
1115;2;tbsp;1;7,5
1116;1;container (6 oz);1;170
1116;2;container (8 oz);1;227
1116;3;container (4 oz);0,5;113
1116;4;cup (8 fl oz);1;245
1117;1;container (6 oz);1;170
1117;2;container (8 oz);1;227
1117;3;container (4 oz);0,5;113
1117;4;cup (8 fl oz);1;245
1118;1;container (6 oz);1;170
1118;2;container (8 oz);1;227
1118;3;cup (8 fl oz);1;245
1119;1;container (6 oz);1;170
1119;2;container (8 oz);1;227
1119;3;cup (8 fl oz);1;245
1120;1;container (6 oz);1;170
1120;2;container (4.4 oz);1;125
1120;3;container (5 oz);1;142
1120;4;cup (8 fl oz);1;245
1120;5;container (8 oz);1;227
1120;6;container (4 oz);0,5;113
1121;1;container (6 oz);1;170
1121;2;cup (8 fl oz);1;245
1121;3;container (8 oz);1;227
1121;5;container, Dannon Sprinkl'ins (4.1 oz);1;116
1121;6;container (4 oz);0,5;113
1122;1;container (6 oz);1;170
1122;2;container (4 oz);0,5;113
1122;3;container (8 oz);1;227
1123;1;large;1;50
1123;2;extra large;1;56
1123;3;jumbo;1;63
1123;5;cup (4.86 large eggs);1;243
1123;6;medium;1;44
1123;7;small;1;38
1124;1;large;1;33
1124;2;cup;1;243
1125;1;large;1;17
1125;2;cup;1;243
1126;1;oz;1;28,35
1126;2;lb;0,5;227
1127;1;oz;1;28,35
1127;2;lb;0,5;227
1128;1;large;1;46
1129;1;cup, chopped;1;136
1129;2;tbsp;1;8,5
1129;3;large;1;50
1130;1;tbsp;1;15
1130;2;large;1;61
1131;1;large;1;50
1132;1;large;1;61
1132;2;tbsp;1;13,7
1132;3;cup;1;220
1133;1;cup, sifted;1;85
1133;2;tbsp;1;5
1134;1;cup, sifted;1;85
1134;2;tbsp;1;5
1135;1;oz;1;28,35
1135;2;lb;0,5;227
1136;1;cup, sifted;1;107
1136;2;tbsp;1;7
1137;1;cup, sifted;1;67
1137;2;tbsp;1;4
1138;1;egg;1;70
1139;1;egg;1;144
1140;1;egg;1;9
1141;1;egg;1;79
1144;1;oz;0,35;9,9
1144;2;oz;0,7;20
1145;1;pat (1" sq, 1/3" high);1;5
1145;2;tbsp;1;14,2
1145;3;cup;1;227
1145;4;stick;1;113
1146;1;tbsp;1;5
1151;1;cup;1;245
1151;2;quart;1;980
1152;1;cup;1;245
1152;2;quart;1;980
1153;1;fl oz;1;31,5
1153;2;cup;0,5;126
1154;1;cup;0,25;30
1154;2;cup;1;120
1155;1;cup;1;68
1155;2;envelope (1-1/3 cup);1;91
1156;1;oz;1;28,35
1157;1;oz;1;28,35
1159;1;oz;1;28,35
1160;1;oz;1;28,35
1160;2;lb;0,5;227
1161;1;cup, shredded;1;113
1161;2;oz;1;28,35
1161;3;cubic inch;1;18
1161;4;slice;1;28
1161;5;oz;3;85
1164;1;tbsp;2;30
1164;2;cup;1;243
1165;1;cup, crumbled;1;132
1165;2;oz;1;28,35
1166;1;cup, diced;1;132
1166;2;cup, shredded;1;113
1166;3;oz;1;28,35
1166;4;cubic inch;1;18
1166;5;slice (1 oz);1;28
1167;1;cup, diced;1;132
1167;2;cup, shredded;1;113
1167;3;oz;1;28,35
1167;4;cubic inch;1;17
1167;5;slice (1 oz);1;28
1168;1;cup, diced;1;132
1168;2;cup, shredded;1;113
1168;3;oz;1;28,35
1168;4;cubic inch;1;17
1168;5;slice (1 oz);1;28
1169;1;cup, diced;1;132
1169;2;cup, shredded;1;113
1169;3;oz;1;28,35
1169;4;cubic inch;1;17
1169;5;slice (1 oz);1;28
1171;1;oz;1;28
1172;1;oz;1;28
1173;1;oz;1;28
1174;1;cup;1;246
1174;2;quart;1;984
1175;1;cup;1;244
1175;2;quart;1;976
1178;1;tablespoon;1;12
1178;2;cup;1;230
1179;1;tablespoon;1;12
1179;2;cup;1;230
1180;1;tablespoon;1;12
1180;2;cup;1;230
1184;1;container (6 oz);1;170
1185;1;tablespoon;1;5
1186;1;tbsp;1;18
1187;1;container (6 oz);1;170
1188;1;tbsp;2;33
1189;1;tbsp;2;35
1190;1;slice;1;21
1191;1;oz;1;28
1192;1;oz;1;28
1193;1;tbsp;2;31
1194;1;tbsp;2;32
1199;1;tbsp;2;29
1199;2;pint;1;484
1200;1;tablespoon;1;4
